epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6802,1.39856,2.85588,1.38477,0.45752,0.52454,0.47176,0.29823,1.09616,10.9889,1.25551,0.000203704,0.000203704,0.000203704
2,53.0147,1.34288,1.61879,1.33349,0.58882,0.66653,0.6546,0.37832,1.18652,1.83202,1.34066,0.000391641,0.000391641,0.000391641
3,78.2253,1.38016,1.37339,1.33751,0.63086,0.40625,0.4946,0.27206,1.27084,1.67449,1.45207,0.000558954,0.000558954,0.000558954
4,103.418,1.39227,1.2218,1.34719,0.66321,0.67907,0.71737,0.41484,1.19084,1.29156,1.3743,0.000532187,0.000532187,0.000532187
5,129.325,1.34387,1.16274,1.33638,0.76836,0.56626,0.70392,0.42432,1.11435,0.96214,1.30296,0.00050125,0.00050125,0.00050125
6,155.065,1.31135,1.07725,1.32369,0.79395,0.58802,0.68406,0.41114,1.18123,1.04628,1.32831,0.000470312,0.000470312,0.000470312
7,180.224,1.30829,1.05574,1.30808,0.5743,0.77098,0.77608,0.48588,1.1449,0.90677,1.33346,0.000439375,0.000439375,0.000439375
8,205.953,1.25432,0.92784,1.29431,0.72258,0.70702,0.7777,0.48007,1.13467,0.80932,1.29228,0.000408438,0.000408438,0.000408438
9,231.307,1.27178,0.9225,1.28265,0.78548,0.71569,0.81828,0.48011,1.11251,0.85461,1.25463,0.0003775,0.0003775,0.0003775
10,256.562,1.21487,0.8513,1.23715,0.80295,0.76916,0.80825,0.51084,1.15273,0.73243,1.29848,0.000346563,0.000346563,0.000346563
11,283.635,1.24899,0.84323,1.32372,0.76586,0.83678,0.82743,0.5443,1.1036,0.76348,1.27556,0.000315625,0.000315625,0.000315625
12,309.409,1.2325,0.80384,1.27106,0.79212,0.86803,0.83739,0.55875,1.05296,0.76157,1.21356,0.000284688,0.000284688,0.000284688
13,334.978,1.1902,0.75791,1.25137,0.81592,0.85522,0.85249,0.55088,1.04977,0.75689,1.2096,0.00025375,0.00025375,0.00025375
14,360.175,1.16122,0.74034,1.2403,0.73224,0.84074,0.85758,0.52904,1.08,0.68369,1.27947,0.000222813,0.000222813,0.000222813
15,385.2,1.15287,0.71301,1.23427,0.79347,0.8659,0.83851,0.55672,1.06605,0.70074,1.26762,0.000191875,0.000191875,0.000191875
16,410.485,1.13436,0.69185,1.20762,0.76366,0.86454,0.81772,0.52641,1.06393,0.6351,1.22481,0.000160938,0.000160938,0.000160938
17,435.567,1.09699,0.64737,1.18168,0.72501,0.83207,0.79269,0.50332,1.05558,0.77546,1.21977,0.00013,0.00013,0.00013
18,460.708,1.07825,0.62466,1.1934,0.81947,0.8004,0.8424,0.54589,1.03362,0.64943,1.21607,9.90625e-05,9.90625e-05,9.90625e-05
19,485.738,1.05024,0.62892,1.16636,0.8164,0.86167,0.85787,0.54166,1.04844,0.63259,1.24539,6.8125e-05,6.8125e-05,6.8125e-05
20,511.101,1.03282,0.58348,1.16641,0.81926,0.87426,0.86089,0.55552,1.03681,0.65338,1.2402,3.71875e-05,3.71875e-05,3.71875e-05
